Sales_Invoice_No,Sales_Invoice_Date,Month_Year,Customer_Code,Customer_Name,Customer_Location,Item,Prod_Code,Prod_Description,QTY,Unit,QTY_DISC,Net_Qty,RATE,Sale_Value,GST_Rate,GST_Value,Total_Invoice_Value,Receivables,Due_Date,Payment_Received_Date,Payment_Status,Age,Credit_Period,Overdue_Status
UCPLINV/23-24/006,45023,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,8970.0,Kg,,8970.0,52.16,467875.2,0.05,23393.76,491268.96,491268.96,45053,45062.0,Due,268,30,More than 180 days
UCPLINV/23-24/006,45023,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTC100,ANNP WH-FF 5KG LP RL,1350.0,Kg,,1350.0,50.808,68590.8,0.05,3429.54,72020.34,72020.34,45053,45062.0,Due,268,30,More than 180 days
UCPLINV/23-24/009,45024,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTA100,ANNP WH-FF 10KG,12000.0,Kg,,12000.0,49.805,597660.0,0.05,29883.0,627543.0,0.0,45054,45055.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/009,45024,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTA100,ANNP WH-FF 1KG LP RL,6000.0,Kg,,6000.0,52.16,312960.0,0.05,15648.0,328608.0,0.0,45054,45055.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/011,45027,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,9780.0,Kg,,9780.0,52.88,517166.4,0.05,25858.32,543024.72,-89948.85,45057,45057.0,Due,264,30,More than 180 days
UCPLINV/23-24/011,45027,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 5KG LP RL,6600.0,Kg,,6600.0,50.096,330633.6,0.05,16531.68,347165.28,0.0,45057,45057.0,On time,0,30,Fully Paid
UCPLINV/23-24/012,45027,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,18000.0,Kg,,18000.0,52.88,951840.0,0.05,47592.0,999432.0,0.0,45057,45057.0,On time,0,30,Fully Paid
UCPLINV/23-24/013,45029,42023,CUS00004,Linfox Logistics (I) P Ltd,TAMIL NADU,Atta,ATTC100,ANNP WH-FF 1KG LP RL,1290.0,Kg,,1290.0,53.08,68473.2,0.05,3423.66,71896.86,71896.86,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/013,45029,42023,CUS00004,Linfox Logistics (I) P Ltd,TAMIL NADU,Atta,ATTC100,ANNP WH-FF 5KG LP RL,5790.0,Kg,,5790.0,54.284,314304.36,0.05,15715.218,330019.578,330019.578,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/013,45029,42023,CUS00004,Linfox Logistics (I) P Ltd,TAMIL NADU,Atta,ATTC100,ANNP WH-FF 10KG,5880.0,Kg,,5880.0,49.805,292853.4,0.05,14642.67,307496.07,307496.07,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/014,45029,42023,CUS00004,Linfox Logistics (I) P Ltd,TAMIL NADU,Atta,ATTA100,ANNP WH-FF 10KG,5040.0,Kg,,5040.0,49.805,251017.2,0.05,12550.86,263568.06,263568.06,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/015,45029,42023,CUS00009,CSA-Hindustan Unilever Limited,TAMIL NADU,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,3000.0,Kg,,3000.0,15.84,47520.0,0.0,0.0,47520.0,47520.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/015,45029,42023,CUS00009,CSA-Hindustan Unilever Limited,TAMIL NADU,Salt,ANNW100,ANNP IODPD SALT 500G,3000.0,Kg,,3000.0,16.18,48540.0,0.0,0.0,48540.0,48540.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/015,45029,42023,CUS00009,CSA-Hindustan Unilever Limited,TAMIL NADU,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,12000.0,Kg,,12000.0,12.99,155880.0,0.0,0.0,155880.0,155880.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/016,45029,42023,CUS00004,Linfox Logistics (I) P Ltd,TAMIL NADU,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,6000.0,Kg,,6000.0,15.84,95040.0,0.0,0.0,95040.0,95040.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/016,45029,42023,CUS00004,Linfox Logistics (I) P Ltd,TAMIL NADU,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,12000.0,Kg,,12000.0,12.99,155880.0,0.0,0.0,155880.0,155880.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/017,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,11200.0,Kg,,11200.0,15.84,177408.0,0.0,0.0,177408.0,177408.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/017,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,13000.0,Kg,,13000.0,12.99,168870.0,0.0,0.0,168870.0,168870.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/018,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,14000.0,Kg,,14000.0,12.99,181860.0,0.0,0.0,181860.0,181860.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/019,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,7625.0,Kg,,7625.0,15.84,120780.0,0.0,0.0,120780.0,120780.0,45059,45229.0,Due,262,30,More than 180 days
UCPLINV/23-24/019,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,ANNP IODPD SALT 500G,2500.0,Kg,,2500.0,16.18,40450.0,0.0,0.0,40450.0,40450.0,45059,45229.0,Due,262,30,More than 180 days
UCPLINV/23-24/020,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,9000.0,Kg,,9000.0,15.84,142560.0,0.0,0.0,142560.0,142560.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/020,45029,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,9000.0,Kg,,9000.0,12.99,116910.0,0.0,0.0,116910.0,116910.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/021,45029,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 1KG LP RL,6600.0,Kg,,6600.0,52.16,344256.0,0.05,17212.8,361468.8,361468.8,45059,,Due,262,30,More than 180 days
UCPLINV/23-24/021,45029,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 1KG LP RL,600.0,Kg,,600.0,52.16,31296.0,0.05,1564.8,32860.8,32860.8,45059,,Due,262,30,More than 180 days
UCPLINV/23-24/023,45029,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 1KG LP RL,14160.0,Kg,,14160.0,52.16,738585.6,0.05,36929.28,775514.88,775514.88,45059,45216.0,Due,262,30,More than 180 days
UCPLINV/23-24/023,45029,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 1KG LP RL,240.0,Kg,,240.0,52.16,12518.4,0.05,625.92,13144.32,13144.32,45059,45216.0,Due,262,30,More than 180 days
UCPLINV/23-24/025,45029,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,0.0,Kg,,0.0,52.16,0.0,0.05,0.0,0.0,0.0,45059,45155.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/025,45029,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTC100,ANNP WH-FF 5KG LP RL,3600.0,Kg,,3600.0,50.808,182908.8,0.05,9145.44,192054.24,192054.24,45059,45155.0,Due,262,30,More than 180 days
UCPLINV/23-24/025,45029,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTC100,ANNP WH-FF 10KG,3900.0,Kg,,3900.0,49.805,194239.5,0.05,9711.975,203951.475,203951.475,45059,45155.0,Due,262,30,More than 180 days
UCPLINV/23-24/031,45029,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,5700.0,Kg,,5700.0,52.16,297312.0,0.05,14865.6,312177.6,312177.6,45059,,Due,262,30,More than 180 days
UCPLINV/23-24/007,45024,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,0.0,Kg,,0.0,8.422222222,0.0,0.0,0.0,0.0,0.0,45054,,Due,267,30,Fully Paid
UCPLINV/23-24/008,45024,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,300000.0,Kg,,300000.0,8.24,2472000.0,0.0,0.0,2472000.0,2472000.0,45054,,Due,267,30,More than 180 days
UCPLINV/23-24/008,45024,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt-C,ANNW100,CC 1 kg * 25kg pack  New Code,3325.0,Kg,,3325.0,8.24,27398.0,0.0,0.0,27398.0,27398.0,45054,,Due,267,30,More than 180 days
UCPLINV/23-24/008,45024,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt-C,ANNW100,CC 1 kg * 25kg pack  New Code,176675.0,Kg,,176675.0,8.24,1455802.0,0.0,0.0,1455802.0,1455802.0,45054,,Due,267,30,More than 180 days
UCPLINV/23-24/010,45026,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,480015.0,Kg,,480015.0,8.422222222,4042793.0,0.0,0.0,4042793.0,4042793.0,45056,45216.0,Due,265,30,More than 180 days
UCPLINV/23-24/022,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,0.0,Kg,,0.0,8.24,0.0,0.0,0.0,0.0,0.0,45059,45061.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/024,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,0.0,Kg,,0.0,8.24,0.0,0.0,0.0,0.0,0.0,45059,45061.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/026,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,0.0,Kg,,0.0,8.422222222,0.0,0.0,0.0,0.0,0.0,45059,45061.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/027,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,0.0,Kg,,0.0,8.24,0.0,0.0,0.0,0.0,0.0,45059,45061.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/028,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,6000.0,Kg,,6000.0,8.24,49440.0,0.0,0.0,49440.0,49440.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/029,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,590000.0,Kg,,590000.0,8.24,4861600.0,0.0,0.0,4861600.0,4861600.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/030,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,120015.0,Kg,,120015.0,8.422222222,1010793.0,0.0,0.0,1010793.0,1010793.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/032,45029,42023,CUS00008,CFAPTB Western Enterprises,BIHAR,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,8820.0,Kg,,8820.0,8.422222222,74284.0,0.0,0.0,74284.0,74284.0,45059,45061.0,Due,262,30,More than 180 days
UCPLINV/23-24/038,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/039,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/040,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/041,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/042,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/043,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/044,45030,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/045,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,3375.0,Kg,,3375.0,17.08888889,57675.0,0.0,0.0,57675.0,57675.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/045,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNZ100,Anp 1 kg * 25kg pack  Relaunch,27225.0,Kg,,27225.0,13.26,361003.5,0.0,0.0,361003.5,361003.5,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/053,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,8000.0,Kg,,8000.0,15.84,126720.0,0.0,0.0,126720.0,126720.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/053,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,10000.0,Kg,,10000.0,12.99,129900.0,0.0,0.0,129900.0,129900.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/054,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,24375.0,Kg,,24375.0,15.84,386100.0,0.0,0.0,386100.0,386100.0,45061,45113.0,Due,260,30,More than 180 days
UCPLINV/23-24/055,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,4000.0,Kg,,4000.0,15.84,63360.0,0.0,0.0,63360.0,63360.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/055,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,12000.0,Kg,,12000.0,12.99,155880.0,0.0,0.0,155880.0,155880.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/056,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNY100,ANNP IODPD SALT 500G,2000.0,Kg,,2000.0,16.18,32360.0,0.0,0.0,32360.0,32360.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/057,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,15125.0,Kg,,15125.0,15.84,239580.0,0.0,0.0,239580.0,239580.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/057,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,9125.0,Kg,,9125.0,12.99,118533.75,0.0,0.0,118533.75,118533.75,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/058,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,12575.0,Kg,,12575.0,15.84,199188.0,0.0,0.0,199188.0,199188.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/058,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,11625.0,Kg,,11625.0,12.99,151008.75,0.0,0.0,151008.75,151008.75,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/059,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,14000.0,Kg,,14000.0,15.84,221760.0,0.0,0.0,221760.0,221760.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/059,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp Crystal 1 * 25 kg Relaunch,8000.0,Kg,,8000.0,12.99,103920.0,0.0,0.0,103920.0,103920.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/090,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,7500.0,Kg,,7500.0,12.99,97425.0,0.0,0.0,97425.0,97425.0,45061,45063.0,Due,260,30,More than 180 days
UCPLINV/23-24/091,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,10500.0,Kg,,10500.0,15.84,166320.0,0.0,0.0,166320.0,166320.0,45061,45063.0,Due,260,30,More than 180 days
UCPLINV/23-24/092,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,6000.0,Kg,,6000.0,15.84,95040.0,0.0,0.0,95040.0,95040.0,45061,45063.0,Due,260,30,More than 180 days
UCPLINV/23-24/093,45031,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,12000.0,Kg,,12000.0,12.99,155880.0,0.0,0.0,155880.0,155880.0,45061,45063.0,Due,260,30,More than 180 days
UCPLINV/23-24/094,45031,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,24025.0,Kg,,24025.0,12.99,312084.75,0.0,0.0,312084.75,312084.75,45061,45063.0,Due,260,30,More than 180 days
UCPLINV/23-24/033,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,25000.0,Kg,,25000.0,8.24,206000.0,0.0,0.0,206000.0,206000.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/034,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNZ100,ANNP IODPD SALT 450g Relaunch,15075.0,Kg,,15075.0,15.17777778,228805.0,0.0,0.0,228805.0,228805.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/035,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,121200.0,Kg,,121200.0,8.24,998688.0,0.0,0.0,998688.0,998688.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/035,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,178800.0,Kg,,178800.0,8.24,1473312.0,0.0,0.0,1473312.0,1473312.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/036,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,300000.0,Kg,,300000.0,8.24,2472000.0,0.0,0.0,2472000.0,2472000.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/037,45030,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,289625.0,Kg,,289625.0,8.24,2386510.0,0.0,0.0,2386510.0,2386510.0,45060,45062.0,Due,261,30,More than 180 days
UCPLINV/23-24/060,45031,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/061,45031,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/062,45031,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/063,45031,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45061,45062.0,Due,260,30,More than 180 days
UCPLINV/23-24/064,45031,42023,CUS00011,C/O Mahalaxmi Enterprises,MAHARASHTRA,Salt-C,ACCZ100,CC 1 kg * 25kg pack  New Code,30600.0,Kg,,30600.0,12.04,368424.0,0.0,0.0,368424.0,368424.0,45061,45062.0,Due,260,30,More than 180 days
